Hour,Energy Needed,Solar Energy Generated,Energy Purchased,Energy Cost at Hour,Hydrogen Needed,Hydrogen Purchased,Hydrogen Cost at Hour,Total Cost at Hour,Total Cost
1,0.2248754337,0.0,0.2248754337,22.87,32.30329261,32.30329261,10,328.175827268719,328.175827268719
2,0.2672795329,0.0,0.2672795329,7.09,10.1367553,10.136755300000004,10,103.26256488826104,431.43839215698006
3,0.8253362103,0.0,0.8253362103,7.09,27.00669761,27.006697610000003,10,275.918609831027,707.3570019880071
4,0.5007729742,0.0,0.5007729742,7.09,39.84284111,39.842841109999995,10,401.97889148707793,1109.335893475085
5,0.2759563726,0.0,0.2759563726,0.0,3.644255073,18.739312832999985,10,187.39312832999985,1296.7290218050848
6,0.3711640831,0.0,0.3711640831,24.63,15.09505776,0.0,10,9.141771366753,1305.8707931718377
7,0.2956017818,0.0072,0.28840178180000003,24.54,42.9675738,42.9675738,10,436.75311772537196,1742.6239108972097
8,0.6405470174,0.3,0.3405470174,22.67,35.24897104,35.248971040000015,10,360.20991128445814,2102.833822181668
9,0.6109089094,0.7776,0.0,6.96,38.5551099,81.46382968,10,814.6382968,2917.4721189816682
10,0.05735963466,1.1976,0.0,6.96,42.90871978,0.0,10,0.0,2917.4721189816682
11,0.6514785041,1.5071999999999999,0.0,0.0,5.366741364,5.366741363999978,10,53.66741363999978,2971.139532621668
12,0.3971872634,1.6583999999999999,0.0,0.0,47.1422192,47.1422192,10,471.422192,3442.561724621668
13,0.001022667729,1.6991999999999998,0.0,0.0,4.026536354,1409.1421807569996,10,14091.421807569996,17533.98353219166
14,0.2129325475,1.6224,0.0,22.2,42.03747334,0.0,10,0.0,17533.98353219166
15,0.1525954113,1.4304,0.0,7.05,16.33787658,0.0,10,0.0,17533.98353219166
16,0.5615309256,1.1472,0.0,23.11,14.19255076,0.0,10,0.0,17533.98353219166
17,0.1018807754,0.8064,0.0,22.19,21.20413385,0.0,10,0.0,17533.98353219166
18,0.2477412876,0.4296,0.0,24.88,10.65403029,0.0,10,0.0,17533.98353219166
19,0.7896282414,0.108,0.6816282414,22.76,32.92121041,0.0,10,15.513858774264001,17549.497390965924
20,0.6386982934,0.0,0.6386982934,23.55,32.5887665,0.0,10,15.041344809569999,17564.538735775495
21,0.9674386161,0.0,0.9674386161,23.2,10.93067511,0.0,10,22.44457589352,17586.983311669017
