Hour,Energy Needed,Solar Energy Generated,Hourly Electricity Purchase (MWh),Energy Cost at Hour,Energy cost,Hydrogen Needed,Hydrogen Stored,Hourly Hydrogen Purchase (kg),Hydrogen Cost at Hour,Total Cost at Hour,Total Cost ($)
1,0.224875434,0,0.224875434,22.87,5.142901169,32.30329261,0,32.30329261,10,328.1758273,328.1758273
2,0.267279533,0,0.267279533,7.09,1.895011888,10.1367553,0,10.1367553,10,103.2625649,431.4383922
3,0.82533621,0,0.82533621,7.09,5.851633731,27.00669761,0,27.00669761,10,275.9186098,707.357002
4,0.500772974,0,0.500772974,7.09,3.550480387,39.84284111,0,39.84284111,10,401.9788915,1109.335893
5,0.275956373,0,0.275956373,0,0,3.644255073,0,18.73931283,10,187.3931283,1296.729022
6,0.371164083,0,0.371164083,24.63,9.141771367,15.09505776,0,0,10,9.141771367,1305.870793
7,0.295601782,0.003,0.289601782,24.54,7.106827725,42.9675738,0,42.9675738,10,436.7825657,1742.653359
8,0.640547017,0.125,0.390547017,22.67,8.853700884,35.24897104,0,35.24897104,10,361.3434113,2103.99677
9,0.610908909,0.324,0,6.96,0,38.5551099,0,81.46382968,10,814.6382968,2918.635067
10,0.057359635,0.499,0,6.96,0,42.90871978,0,0,10,0,2918.635067
11,0.651478504,0.628,0,0,0,5.366741364,0,5.366741364,10,53.66741364,2972.302481
12,0.397187263,0.691,0,0,0,47.1422192,0,47.1422192,10,471.422192,3443.724673
13,0.001022668,0.708,0,0,0,4.026536354,0,1409.142181,10,14091.42181,17535.14648
14,0.212932548,0.676,0,22.2,0,42.03747334,0,0,10,0,17535.14648
15,0.152595411,0.596,0,7.05,0,16.33787658,0,0,10,0,17535.14648
16,0.561530926,0.478,0,23.11,0,14.19255076,0,0,10,0,17535.14648
17,0.101880775,0.336,0,22.19,0,21.20413385,0,0,10,0,17535.14648
18,0.247741288,0.179,0,24.88,0,10.65403029,0,0,10,0,17535.14648
19,0.789628241,0.045,0.699628241,22.76,15.92353877,32.92121041,0,0,10,15.92353877,17551.07002
20,0.638698293,0,0.638698293,23.55,15.04134481,32.5887665,0,0,10,15.04134481,17566.11136
21,0.967438616,0,0.967438616,23.2,22.44457589,10.93067511,0,0,10,22.44457589,17588.55594
22,0.802165658,0,0.802165658,24.05,19.29208407,1.124799235,0,0,10,19.29208407,17607.84802
23,0.570569028,0,0.570569028,23.77,13.56242581,17.56014834,0,0,10,13.56242581,17621.41045
24,0.443693364,0,0.443693364,24.02,10.6575146,13.89371983,0,0,10,10.6575146,17632.06796
25,0.513215592,0,0.513215592,44.07,22.61741113,37.29865677,0,0,10,22.61741113,17654.68538
26,0.840693926,0,0.840693926,45.39,38.15909728,21.94434165,0,0,10,38.15909728,17692.84447
27,0.117451751,0,0.117451751,0,0,2.807680925,0,0,10,0,17692.84447
28,0.062979841,0,0.062979841,0,0,12.00322256,0,0,10,0,17692.84447
29,0.303874585,0,0.303874585,0,0,12.48372975,0,0,10,0,17692.84447
30,0.238331313,0,0.238331313,46.55,11.09432262,3.189553994,0,0,10,11.09432262,17703.9388
31,0.632891047,0.003,0.626891047,46.09,28.89340836,36.0766302,0,0,10,28.89340836,17732.8322
32,0.367609972,0.119,0.129609972,46.05,5.968539188,16.93962092,0,0,10,5.968539188,17738.80074
33,0.228939913,0.313,0,46.23,0,16.02214234,0,0,10,0,17738.80074
34,0.256833558,0.488,0,61.53,0,5.280232407,0,0,10,0,17738.80074
35,0.249892164,0.616,0,0,0,35.94161911,0,0,10,0,17738.80074
36,0.944147492,0.695,0,0,0,33.96304499,0,0,10,0,17738.80074
37,0.600132092,0.726,0,0,0,35.65042079,0,0,10,0,17738.80074
38,0.629057591,0.711,0,0,0,41.11593506,0,0,10,0,17738.80074
39,0.01374185,0.611,0,7.04,0,46.23695089,0,0,10,0,17738.80074
40,0.521540439,0.495,0,36.99,0,38.79773349,0,0,10,0,17738.80074
41,0.954773306,0.359,0.236773306,35.23,8.341523556,4.843105563,0,0,10,8.341523556,17747.14227
42,0.322260489,0.208,0,42.35,0,48.5047084,0,0,10,0,17747.14227
43,0.261391735,0.052,0.157391735,42.14,6.632487692,17.99343059,0,0,10,6.632487692,17753.77475
44,0.715263221,0,0.715263221,43.35,31.00666064,23.64782365,0,0,10,31.00666064,17784.78141
45,0.381944791,0,0.381944791,46.62,17.80626617,44.26440811,0,0,10,17.80626617,17802.58768
46,0.434967243,0,0.434967243,46.81,20.36081663,43.20748033,0,0,10,20.36081663,17822.9485
47,0.961597065,0,0.961597065,47.28,45.46430922,32.11850166,0,0,10,45.46430922,17868.41281
48,0.184461686,0,0.184461686,10.41,1.920246149,24.11642826,0,0,10,1.920246149,17870.33305
49,0.501553567,0,0.501553567,41.57,20.84958179,10.49225392,0,0,10,20.84958179,17891.18263
50,0.097066796,0,0.097066796,7.12,0.691115586,2.892607663,0,0,10,0.691115586,17891.87375
51,0.658175223,0,0.658175223,11.18,7.358398993,47.64786039,0,0,10,7.358398993,17899.23215
52,0.103498774,0,0.103498774,0,0,44.14379894,0,0,10,0,17899.23215
53,0.321192238,0,0.321192238,0,0,15.57825382,0,0,10,0,17899.23215
54,0.689084629,0,0.689084629,0,0,28.82828805,0,0,10,0,17899.23215
55,0.019100179,0.002,0.015100179,11.09,0.167460986,21.38307564,0,0,10,0.167460986,17899.39961
56,0.186212801,0.117,0,10.76,0,24.64478414,0,0,10,0,17899.39961
57,0.071652943,0.305,0,10.57,0,5.274714425,0,0,10,0,17899.39961
58,0.17411961,0.48,0,7.89,0,5.236216333,0,0,10,0,17899.39961
59,0.635750545,0.613,0,7.07,0,44.7785598,0,0,10,0,17899.39961
60,0.369363786,0.696,0,0,0,31.65280787,0,0,10,0,17899.39961
61,0.779182257,0.732,0,0,0,22.08987284,0,0,10,0,17899.39961
62,0.844721818,0.724,0,0,0,25.88811259,0,0,10,0,17899.39961
63,0.639480269,0.669,0,0,0,33.05255183,0,0,10,0,17899.39961
64,0.661158162,0.566,0,7.05,0,21.46697999,0,0,10,0,17899.39961
65,0.771040942,0.418,0,0,0,31.72515621,0,0,10,0,17899.39961
66,0.327026586,0.233,0,10.88,0,33.74741522,0,0,10,0,17899.39961
67,0.906782917,0.053,0.800782917,0,0,29.67061724,0,0,10,0,17899.39961
68,0.591405373,0,0.591405373,11.58,6.848474223,23.55095297,0,0,10,6.848474223,17906.24808
69,0.53065867,0,0.53065867,11.19,5.938070513,7.903276907,0,0,10,5.938070513,17912.18615
70,0.255750036,0,0.255750036,7.32,1.872090261,22.24164355,0,0,10,1.872090261,17914.05825
