Hour,Energy Needed,Solar Energy Generated,Hourly Electricity Purchase (MWh),Energy Cost at Hour,Electrolyser Usage,Hydrogen Needed,Hourly Hydrogen Purchase (kg),Hydrogen Cost at Hour,Total Cost at Hour,Total Cost ($)
1,0.2248754337,0.0,0.7248754337,22.87,1.0,32.30329261,1101.3604153039996,10,11030.182054208715,11030.182054208715
2,0.2672795329,0.0,0.7672795329,7.09,1.0,10.1367553,0.0,10,5.440011888260999,11035.622066096976
3,0.8253362103,0.0,1.3253362103000002,7.09,1.0,27.00669761,0.0,10,9.396633731027,11045.018699828002
4,0.5007729742,0.0,1.0007729742,7.09,1.0,39.84284111,0.0,10,7.095480387078,11052.11418021508
5,0.2759563726,0.0,1.0,0.0,1.0,3.644255073,0.0,10,0.0,11052.11418021508
6,0.3711640831,0.0,0.8711640831,24.63,1.0,15.09505776,0.0,10,21.456771366753,11073.570951581833
7,0.2956017818,0.006,0.7896017818000001,24.54,1.0,42.9675738,0.0,10,19.376827725372,11092.947779307204
8,0.6405470174,0.25,0.8905470174,22.67,1.0,35.24897104,0.0,10,20.188700884458,11113.136480191662
9,0.6109089094,0.648,0.46290890939999996,6.96,1.0,38.5551099,0.0,10,3.2218460094239996,11116.358326201087
10,0.05735963466,0.998,0.0,6.96,1.0,42.90871978,0.0,10,0.0,11116.358326201087
11,0.6514785041,1.256,-0.0,0.0,1.0,5.366741364,0.0,10,0.0,11116.358326201087
12,0.3971872634,1.382,-0.0,0.0,1.0,47.1422192,0.0,10,0.0,11116.358326201087
13,0.001022667729,1.416,-0.0,0.0,1.0,4.026536354,0.0,10,0.0,11116.358326201087
14,0.2129325475,1.352,0.0,22.2,1.0,42.03747334,0.0,10,0.0,11116.358326201087
15,0.1525954113,1.192,0.0,7.05,1.0,16.33787658,0.0,10,0.0,11116.358326201087
16,0.5615309256,0.956,0.10553092559999999,23.11,1.0,14.19255076,0.0,10,2.4388196906159996,11118.797145891704
17,0.1018807754,0.672,0.0,22.19,1.0,21.20413385,0.0,10,0.0,11118.797145891704
18,0.2477412876,0.358,0.38974128760000004,24.88,1.0,10.65403029,0.0,10,9.696763235488001,11128.493909127192
19,0.7896282414,0.09,1.1996282414000001,22.76,1.0,32.92121041,0.0,10,27.303538774264005,11155.797447901456
20,0.6386982934,0.0,1.1386982934,23.55,1.0,32.5887665,0.0,10,26.81634480957,11182.613792711025
21,0.9674386161,0.0,1.4674386161,23.2,1.0,10.93067511,0.0,10,34.04457589352,11216.658368604545
22,0.8021656578,0.0,1.3021656578,24.05,1.0,1.124799235,0.0,10,31.31708407009,11247.975452674635
