Hour,Energy Needed,Solar Energy Generated,Energy Cost at Hour,Hydrogen Needed,Hydrogen Cost at Hour,Energy Purchased,Hydrogen Purchased,Total Cost at Hour,Total Cost ($)
1,0.2248754337,0.0,22.87,32.30329261,10,0.2248754337,32.30329261,328.175827268719,328.175827268719
2,0.2672795329,0.0,7.09,10.1367553,10,0.2672795329,10.136755300000004,103.26256488826104,431.43839215698006
3,0.8253362103,0.0,7.09,27.00669761,10,0.8253362103,27.006697610000003,275.918609831027,707.3570019880071
4,0.5007729742,0.0,7.09,39.84284111,10,0.5007729742,39.842841109999995,401.97889148707793,1109.335893475085
5,0.2759563726,0.0,0.0,3.644255073,10,0.2759563726,18.739312832999985,187.39312832999985,1296.7290218050848
6,0.3711640831,0.0,24.63,15.09505776,10,0.3711640831,0.0,9.141771366753,1305.8707931718377
7,0.2956017818,0.006,24.54,42.9675738,10,0.2896017818,42.9675738,436.78256572537197,1742.6533588972097
8,0.6405470174,0.25,22.67,35.24897104,10,0.3905470174,35.248971040000015,361.34341128445817,2103.9967701816677
9,0.6109089094,0.648,6.96,38.5551099,10,0.0,81.46382968,814.6382968,2918.6350669816675
10,0.05735963466,0.998,6.96,42.90871978,10,0.0,0.0,0.0,2918.6350669816675
11,0.6514785041,1.256,0.0,5.366741364,10,0.0,5.366741363999978,53.66741363999978,2972.302480621667
12,0.3971872634,1.382,0.0,47.1422192,10,0.0,47.1422192,471.422192,3443.724672621667
13,0.001022667729,1.416,0.0,4.026536354,10,0.0,1409.1421807569996,14091.421807569996,17535.146480191663
14,0.2129325475,1.352,22.2,42.03747334,10,0.0,0.0,0.0,17535.146480191663
15,0.1525954113,1.192,7.05,16.33787658,10,0.0,0.0,0.0,17535.146480191663
16,0.5615309256,0.956,23.11,14.19255076,10,0.0,0.0,0.0,17535.146480191663
17,0.1018807754,0.672,22.19,21.20413385,10,0.0,0.0,0.0,17535.146480191663
18,0.2477412876,0.358,24.88,10.65403029,10,0.0,0.0,0.0,17535.146480191663
19,0.7896282414,0.09,22.76,32.92121041,10,0.6996282414,0.0,15.923538774264001,17551.070018965926
20,0.6386982934,0.0,23.55,32.5887665,10,0.6386982934,0.0,15.041344809569999,17566.111363775497
21,0.9674386161,0.0,23.2,10.93067511,10,0.9674386161,0.0,22.44457589352,17588.55593966902
22,0.8021656578,0.0,24.05,1.124799235,10,0.8021656578,0.0,19.292084070090002,17607.84802373911
23,0.5705690284,0.0,23.77,17.56014834,10,0.5705690284,0.0,13.562425805068,17621.410449544175
24,0.4436933638,0.0,24.02,13.89371983,10,0.4436933638,0.0,10.657514598476,17632.06796414265
25,0.5132155918,0.0,44.07,37.29865677,10,0.5132155918,0.0,22.617411130626,17654.685375273275
26,0.8406939256,0.0,45.39,21.94434165,10,0.8406939256,0.0,38.159097282984,17692.84447255626
27,0.1174517514,0.0,0.0,2.807680925,10,0.1174517514,0.0,0.0,17692.84447255626
28,0.06297984072,0.0,0.0,12.00322256,10,0.06297984072,0.0,0.0,17692.84447255626
29,0.3038745851,0.0,0.0,12.48372975,10,0.3038745851,0.0,0.0,17692.84447255626
30,0.2383313131,0.0,46.55,3.189553994,10,0.2383313131,0.0,11.094322624804999,17703.938795181064
31,0.632891047,0.006,46.09,36.0766302,10,0.626891047,0.0,28.89340835623,17732.832203537295
32,0.3676099715,0.238,46.05,16.93962092,10,0.12960997150000003,0.0,5.968539187575001,17738.80074272487
33,0.2289399126,0.626,46.23,16.02214234,10,0.0,0.0,0.0,17738.80074272487
34,0.2568335579,0.976,61.53,5.280232407,10,0.0,0.0,0.0,17738.80074272487
35,0.2498921635,1.232,0.0,35.94161911,10,0.0,0.0,0.0,17738.80074272487
36,0.9441474916,1.39,0.0,33.96304499,10,0.0,0.0,0.0,17738.80074272487
37,0.6001320923,1.452,0.0,35.65042079,10,0.0,0.0,0.0,17738.80074272487
38,0.6290575912,1.422,0.0,41.11593506,10,0.0,0.0,0.0,17738.80074272487
39,0.01374184978,1.222,7.04,46.23695089,10,0.0,0.0,0.0,17738.80074272487
40,0.521540439,0.99,36.99,38.79773349,10,0.0,0.0,0.0,17738.80074272487
41,0.9547733056,0.718,35.23,4.843105563,10,0.23677330559999998,0.0,8.341523556288,17747.14226628116
42,0.322260489,0.416,42.35,48.5047084,10,0.0,0.0,0.0,17747.14226628116
43,0.2613917345,0.104,42.14,17.99343059,10,0.1573917345,0.0,6.63248769183,17753.77475397299
44,0.7152632212,0.0,43.35,23.64782365,10,0.7152632212,0.0,31.006660639019998,17784.78141461201
45,0.3819447913,0.0,46.62,44.26440811,10,0.3819447913,0.0,17.806266170405998,17802.587680782417
46,0.4349672427,0.0,46.81,43.20748033,10,0.4349672427,0.0,20.360816630787,17822.948497413203
47,0.9615970648,0.0,47.28,32.11850166,10,0.9615970648,0.0,45.464309223743996,17868.41280663695
48,0.1844616858,0.0,10.41,24.11642826,10,0.1844616858,0.0,1.920246149178,17870.333052786125
49,0.5015535672,0.0,41.57,10.49225392,10,0.5015535672,0.0,20.849581788504,17891.18263457463
50,0.09706679572,0.0,7.12,2.892607663,10,0.09706679572,0.0,0.6911155855264001,17891.873750160157
51,0.658175223,0.0,11.18,47.64786039,10,0.658175223,0.0,7.35839899314,17899.232149153297
52,0.1034987737,0.0,0.0,44.14379894,10,0.1034987737,0.0,0.0,17899.232149153297
53,0.3211922378,0.0,0.0,15.57825382,10,0.3211922378,0.0,0.0,17899.232149153297
54,0.6890846289,0.0,0.0,28.82828805,10,0.6890846289,0.0,0.0,17899.232149153297
55,0.01910017912,0.004,11.09,21.38307564,10,0.015100179120000001,0.0,0.1674609864408,17899.39961013974
56,0.1862128014,0.234,10.76,24.64478414,10,0.0,0.0,0.0,17899.39961013974
57,0.07165294277,0.61,10.57,5.274714425,10,0.0,0.0,0.0,17899.39961013974
58,0.1741196095,0.96,7.89,5.236216333,10,0.0,0.0,0.0,17899.39961013974
59,0.6357505452,1.226,7.07,44.7785598,10,0.0,0.0,0.0,17899.39961013974
60,0.3693637856,1.392,0.0,31.65280787,10,0.0,0.0,0.0,17899.39961013974
61,0.7791822565,1.464,0.0,22.08987284,10,0.0,0.0,0.0,17899.39961013974
62,0.844721818,1.448,0.0,25.88811259,10,0.0,0.0,0.0,17899.39961013974
63,0.6394802687,1.338,0.0,33.05255183,10,0.0,0.0,0.0,17899.39961013974
64,0.6611581616,1.132,7.05,21.46697999,10,0.0,0.0,0.0,17899.39961013974
65,0.7710409419,0.836,0.0,31.72515621,10,0.0,0.0,0.0,17899.39961013974
66,0.3270265864,0.466,10.88,33.74741522,10,0.0,0.0,0.0,17899.39961013974
67,0.9067829169,0.106,0.0,29.67061724,10,0.8007829169,0.0,0.0,17899.39961013974
68,0.5914053733,0.0,11.58,23.55095297,10,0.5914053733,0.0,6.848474222814,17906.248084362553
69,0.5306586696,0.0,11.19,7.903276907,10,0.5306586696,0.0,5.938070512823999,17912.186154875377
70,0.2557500357,0.0,7.32,22.24164355,10,0.2557500357,0.0,1.872090261324,17914.0582451367
71,0.1096716427,0.0,7.38,6.586484521,10,0.1096716427,0.0,0.809376723126,17914.867621859827
72,0.1617748104,0.0,7.08,16.74657289,10,0.1617748104,0.0,1.145365657632,17916.012987517457
