Hour,Energy Needed,Solar Energy Generated,Energy Cost at Hour,Hydrogen Needed,Hydrogen Cost at Hour,Energy Purchased,Hydrogen Purchased,Total Cost at Hour,Total Cost ($),Charge in the Battery at Hour
1,0.2248754337,0.0,22.87,32.30329261,10,0.2248754337,32.30329261,328.175827268719,328.175827268719,0.0
2,0.2672795329,0.0,7.09,10.1367553,10,0.2672795329,76.98629402,771.757952088261,1099.93377935698,0.0
3,0.8253362103,0.0,7.09,27.00669761,10,0.8253362103,0.0,5.851633731027,1105.785413088007,0.0
4,0.5007729742,0.0,7.09,39.84284111,10,0.5007729742,0.0,3.5504803870779997,1109.3358934750852,0.0
5,0.2759563726,0.0,0.0,3.644255073,10,0.7759563726,18.739312832999985,187.39312832999985,1296.729021805085,0.5
6,0.3711640831,0.0,24.63,15.09505776,10,0.0,0.0,0.0,1296.729021805085,0.1288359169
7,0.2956017818,0.006,24.54,42.9675738,10,0.1607658649,42.9675738,433.620932324646,1730.349954129731,0.0
8,0.6405470174,0.25,22.67,35.24897104,10,0.3905470174,73.80408094,746.8945102844581,2477.244464414189,0.0
9,0.6109089094,0.648,6.96,38.5551099,10,0.0,0.0,0.0,2477.244464414189,0.0
10,0.05735963466,0.998,6.96,42.90871978,10,0.0,42.90871978000001,429.0871978000001,2906.3316622141892,0.0
11,0.6514785041,1.256,0.0,5.366741364,10,0.0,5.366741363999978,53.66741363999978,2959.999075854189,0.0
12,0.3971872634,1.382,0.0,47.1422192,10,0.0,51.16875555399997,511.6875555399997,3471.6866313941887,0.0
13,0.001022667729,1.416,0.0,4.026536354,10,0.0,0.0,0.0,3471.6866313941887,0.0
14,0.2129325475,1.352,22.2,42.03747334,10,0.0,1405.1156444029996,14051.156444029995,17522.843075424185,0.0
15,0.1525954113,1.192,7.05,16.33787658,10,0.0,0.0,0.0,17522.843075424185,0.5
16,0.5615309256,0.956,23.11,14.19255076,10,0.0,0.0,0.0,17522.843075424185,0.0
17,0.1018807754,0.672,22.19,21.20413385,10,0.0,0.0,0.0,17522.843075424185,0.5
18,0.2477412876,0.358,24.88,10.65403029,10,0.0,0.0,0.0,17522.843075424185,0.5
