Hour,Energy Needed,Solar Energy Generated,Energy Purchased,Energy Cost at Hour,Hydrogen Needed,Hydrogen Purchased,Hydrogen Cost at Hour,Total Cost at Hour,Total Cost
1,0.2248754337,0.0,0.2248754337,22.87,32.30329261,1749.3604153039996,10,17498.747054208714,17498.747054208714
2,0.2672795329,0.0,0.2672795329,7.09,10.1367553,0.0,10,1.895011888261,17500.642066096974
3,0.8253362103,0.0,0.8253362103,7.09,27.00669761,0.0,10,5.851633731027,17506.493699828003
4,0.5007729742,0.0,0.5007729742,7.09,39.84284111,0.0,10,3.5504803870779997,17510.04418021508
5,0.2759563726,0.0,1.0,0.0,3.644255073,0.0,10,0.0,17510.04418021508
6,0.3711640831,0.0,0.3711640831,24.63,15.09505776,0.0,10,9.141771366753,17519.185951581836
7,0.2956017818,0.006,0.2896017818,24.54,42.9675738,0.0,10,7.106827725372,17526.29277930721
8,0.6405470174,0.25,0.3905470174,22.67,35.24897104,0.0,10,8.853700884458,17535.146480191666
9,0.6109089094,0.648,0.0,6.96,38.5551099,0.0,10,0.0,17535.146480191666
10,0.05735963466,0.998,0.0,6.96,42.90871978,0.0,10,0.0,17535.146480191666
11,0.6514785041,1.256,-0.0,0.0,5.366741364,0.0,10,0.0,17535.146480191666
12,0.3971872634,1.382,-0.0,0.0,47.1422192,0.0,10,0.0,17535.146480191666
13,0.001022667729,1.416,-0.0,0.0,4.026536354,0.0,10,0.0,17535.146480191666
14,0.2129325475,1.352,0.0,22.2,42.03747334,0.0,10,0.0,17535.146480191666
15,0.1525954113,1.192,0.0,7.05,16.33787658,0.0,10,0.0,17535.146480191666
16,0.5615309256,0.956,0.0,23.11,14.19255076,0.0,10,0.0,17535.146480191666
17,0.1018807754,0.672,0.0,22.19,21.20413385,0.0,10,0.0,17535.146480191666
18,0.2477412876,0.358,0.0,24.88,10.65403029,0.0,10,0.0,17535.146480191666
19,0.7896282414,0.09,0.6996282414,22.76,32.92121041,0.0,10,15.923538774264001,17551.07001896593
20,0.6386982934,0.0,0.6386982934,23.55,32.5887665,0.0,10,15.041344809569999,17566.1113637755
21,0.9674386161,0.0,0.9674386161,23.2,10.93067511,0.0,10,22.44457589352,17588.555939669022
22,0.8021656578,0.0,0.8021656578,24.05,1.124799235,0.0,10,19.292084070090002,17607.848023739112
23,0.5705690284,0.0,0.5705690284,23.77,17.56014834,0.0,10,13.562425805068,17621.41044954418
24,0.4436933638,0.0,0.4436933638,24.02,13.89371983,0.0,10,10.657514598476,17632.067964142654
25,0.5132155918,0.0,0.5132155918,44.07,37.29865677,0.0,10,22.617411130626,17654.68537527328
26,0.8406939256,0.0,0.8406939256,45.39,21.94434165,0.0,10,38.159097282984,17692.844472556262
27,0.1174517514,0.0,1.0,0.0,2.807680925,0.0,10,0.0,17692.844472556262
28,0.06297984072,0.0,1.0,0.0,12.00322256,0.0,10,0.0,17692.844472556262
29,0.3038745851,0.0,1.0,0.0,12.48372975,0.0,10,0.0,17692.844472556262
30,0.2383313131,0.0,0.2383313131,46.55,3.189553994,0.0,10,11.094322624804999,17703.938795181068
31,0.632891047,0.006,0.626891047,46.09,36.0766302,0.0,10,28.89340835623,17732.8322035373
32,0.3676099715,0.238,0.12960997150000003,46.05,16.93962092,0.0,10,5.968539187575001,17738.800742724874
33,0.2289399126,0.626,0.0,46.23,16.02214234,0.0,10,0.0,17738.800742724874
34,0.2568335579,0.976,0.0,61.53,5.280232407,0.0,10,0.0,17738.800742724874
35,0.2498921635,1.232,-0.0,0.0,35.94161911,0.0,10,0.0,17738.800742724874
36,0.9441474916,1.39,-0.0,0.0,33.96304499,0.0,10,0.0,17738.800742724874
37,0.6001320923,1.452,-0.0,0.0,35.65042079,0.0,10,0.0,17738.800742724874
38,0.6290575912,1.422,-0.0,0.0,41.11593506,0.0,10,0.0,17738.800742724874
39,0.01374184978,1.222,0.0,7.04,46.23695089,0.0,10,0.0,17738.800742724874
40,0.521540439,0.99,0.0,36.99,38.79773349,0.0,10,0.0,17738.800742724874
41,0.9547733056,0.718,0.23677330559999998,35.23,4.843105563,0.0,10,8.341523556288,17747.142266281164
42,0.322260489,0.416,0.0,42.35,48.5047084,0.0,10,0.0,17747.142266281164
43,0.2613917345,0.104,0.1573917345,42.14,17.99343059,0.0,10,6.63248769183,17753.774753972993
44,0.7152632212,0.0,0.7152632212,43.35,23.64782365,0.0,10,31.006660639019998,17784.781414612014
45,0.3819447913,0.0,0.3819447913,46.62,44.26440811,0.0,10,17.806266170405998,17802.58768078242
46,0.4349672427,0.0,0.4349672427,46.81,43.20748033,0.0,10,20.360816630787,17822.948497413206
47,0.9615970648,0.0,0.9615970648,47.28,32.11850166,0.0,10,45.464309223743996,17868.412806636952
48,0.1844616858,0.0,0.1844616858,10.41,24.11642826,0.0,10,1.920246149178,17870.33305278613
49,0.5015535672,0.0,0.5015535672,41.57,10.49225392,0.0,10,20.849581788504,17891.182634574634
50,0.09706679572,0.0,0.09706679572,7.12,2.892607663,0.0,10,0.6911155855264001,17891.87375016016
51,0.658175223,0.0,0.658175223,11.18,47.64786039,0.0,10,7.35839899314,17899.2321491533
52,0.1034987737,0.0,1.0,0.0,44.14379894,0.0,10,0.0,17899.2321491533
53,0.3211922378,0.0,1.0,0.0,15.57825382,0.0,10,0.0,17899.2321491533
54,0.6890846289,0.0,1.0,0.0,28.82828805,0.0,10,0.0,17899.2321491533
55,0.01910017912,0.004,0.015100179120000001,11.09,21.38307564,0.0,10,0.1674609864408,17899.399610139742
56,0.1862128014,0.234,0.0,10.76,24.64478414,0.0,10,0.0,17899.399610139742
57,0.07165294277,0.61,0.0,10.57,5.274714425,0.0,10,0.0,17899.399610139742
58,0.1741196095,0.96,0.0,7.89,5.236216333,0.0,10,0.0,17899.399610139742
59,0.6357505452,1.226,0.0,7.07,44.7785598,0.0,10,0.0,17899.399610139742
60,0.3693637856,1.392,-0.0,0.0,31.65280787,0.0,10,0.0,17899.399610139742
61,0.7791822565,1.464,-0.0,0.0,22.08987284,0.0,10,0.0,17899.399610139742
62,0.844721818,1.448,-0.0,0.0,25.88811259,0.0,10,0.0,17899.399610139742
63,0.6394802687,1.338,-0.0,0.0,33.05255183,0.0,10,0.0,17899.399610139742
64,0.6611581616,1.132,0.0,7.05,21.46697999,0.0,10,0.0,17899.399610139742
65,0.7710409419,0.836,-0.0,0.0,31.72515621,0.0,10,0.0,17899.399610139742
66,0.3270265864,0.466,0.0,10.88,33.74741522,0.0,10,0.0,17899.399610139742
67,0.9067829169,0.106,1.0,0.0,29.67061724,0.0,10,0.0,17899.399610139742
